"ID","Section","Key","English","Greek proposal","Your correction","Status","Notes"
"713","Clients","","Responsible Persons","","","Needs Greek","Please add/check Greek wording"
"714","General","","rgba(102, 151, 173, 0.42)","","","Needs Greek","Please add/check Greek wording"
"715","General","","rgba(112, 119, 125, 0.42)","","","Needs Greek","Please add/check Greek wording"
"716","General","","rgba(112, 132, 148, 0.42)","","","Needs Greek","Please add/check Greek wording"
"717","General","","rgba(116, 121, 134, 0.42)","","","Needs Greek","Please add/check Greek wording"
"718","General","","rgba(13, 122, 115, 0.12)","","","Needs Greek","Please add/check Greek wording"
"719","General","","rgba(133, 155, 58, 0.14)","","","Needs Greek","Please add/check Greek wording"
"720","General","","rgba(138, 105, 145, 0.42)","","","Needs Greek","Please add/check Greek wording"
"721","General","","rgba(141, 160, 84, 0.42)","","","Needs Greek","Please add/check Greek wording"
"722","General","","rgba(142, 92, 152, 0.14)","","","Needs Greek","Please add/check Greek wording"
"723","General","","rgba(142, 99, 185, 0.14)","","","Needs Greek","Please add/check Greek wording"
"724","General","","rgba(149, 112, 186, 0.42)","","","Needs Greek","Please add/check Greek wording"
"725","General","","rgba(155, 107, 71, 0.14)","","","Needs Greek","Please add/check Greek wording"
"726","General","","rgba(161, 121, 92, 0.44)","","","Needs Greek","Please add/check Greek wording"
"727","General","","rgba(168, 100, 148, 0.42)","","","Needs Greek","Please add/check Greek wording"
"728","General","","rgba(178, 77, 147, 0.14)","","","Needs Greek","Please add/check Greek wording"
"729","General","","rgba(192, 103, 134, 0.14)","","","Needs Greek","Please add/check Greek wording"
"730","General","","rgba(192, 118, 144, 0.42)","","","Needs Greek","Please add/check Greek wording"
"731","General","","rgba(198, 117, 82, 0.46)","","","Needs Greek","Please add/check Greek wording"
"732","General","","rgba(199, 106, 61, 0.14)","","","Needs Greek","Please add/check Greek wording"
"733","General","","rgba(200, 117, 96, 0.42)","","","Needs Greek","Please add/check Greek wording"
"734","General","","rgba(202, 162, 84, 0.42)","","","Needs Greek","Please add/check Greek wording"
"735","General","","rgba(208, 146, 96, 0.5)","","","Needs Greek","Please add/check Greek wording"
"736","General","","rgba(208, 154, 47, 0.14)","","","Needs Greek","Please add/check Greek wording"
"737","General","","rgba(209, 110, 85, 0.14)","","","Needs Greek","Please add/check Greek wording"
"738","General","","rgba(216, 151, 113, 0.42)","","","Needs Greek","Please add/check Greek wording"
"739","General","","rgba(219, 139, 93, 0.14)","","","Needs Greek","Please add/check Greek wording"
"740","General","","rgba(226, 241, 243, 0.84)","","","Needs Greek","Please add/check Greek wording"
"741","General","","rgba(227, 243, 245, 0.82)","","","Needs Greek","Please add/check Greek wording"
"742","General","","rgba(227, 244, 237, 0.82)","","","Needs Greek","Please add/check Greek wording"
"743","General","","rgba(228, 243, 237, 0.84)","","","Needs Greek","Please add/check Greek wording"
"744","General","","rgba(229, 241, 247, 0.82)","","","Needs Greek","Please add/check Greek wording"
"745","General","","rgba(230, 239, 233, 0.84)","","","Needs Greek","Please add/check Greek wording"
"746","General","","rgba(230, 241, 232, 0.82)","","","Needs Greek","Please add/check Greek wording"
"747","General","","rgba(231, 240, 235, 0.82)","","","Needs Greek","Please add/check Greek wording"
"748","General","","rgba(231, 242, 248, 0.84)","","","Needs Greek","Please add/check Greek wording"
"749","General","","rgba(232, 236, 247, 0.82)","","","Needs Greek","Please add/check Greek wording"
"750","General","","rgba(232, 237, 242, 0.82)","","","Needs Greek","Please add/check Greek wording"
"751","General","","rgba(232, 237, 246, 0.84)","","","Needs Greek","Please add/check Greek wording"
"752","General","","rgba(232, 237, 247, 0.84)","","","Needs Greek","Please add/check Greek wording"
"753","General","","rgba(232, 244, 250, 0.82)","","","Needs Greek","Please add/check Greek wording"
"754","General","","rgba(233, 235, 236, 0.84)","","","Needs Greek","Please add/check Greek wording"
"755","General","","rgba(233, 238, 243, 0.84)","","","Needs Greek","Please add/check Greek wording"
"756","General","","rgba(233, 238, 247, 0.82)","","","Needs Greek","Please add/check Greek wording"
"757","General","","rgba(233, 244, 248, 0.84)","","","Needs Greek","Please add/check Greek wording"
"758","General","","rgba(234, 235, 238, 0.84)","","","Needs Greek","Please add/check Greek wording"
"759","General","","rgba(234, 243, 233, 0.84)","","","Needs Greek","Please add/check Greek wording"
"760","General","","rgba(235, 237, 238, 0.82)","","","Needs Greek","Please add/check Greek wording"
"761","General","","rgba(236, 237, 240, 0.82)","","","Needs Greek","Please add/check Greek wording"
"762","General","","rgba(236, 241, 224, 0.84)","","","Needs Greek","Please add/check Greek wording"
"763","General","","rgba(237, 242, 225, 0.82)","","","Needs Greek","Please add/check Greek wording"
"764","General","","rgba(237, 249, 250, 0.88)","","","Needs Greek","Please add/check Greek wording"
"765","General","","rgba(239, 246, 244, 0.78)","","","Needs Greek","Please add/check Greek wording"
"766","General","","rgba(239, 249, 245, 0.88)","","","Needs Greek","Please add/check Greek wording"
"767","General","","rgba(240, 232, 240, 0.82)","","","Needs Greek","Please add/check Greek wording"
"768","General","","rgba(240, 232, 240, 0.84)","","","Needs Greek","Please add/check Greek wording"
"769","General","","rgba(240, 233, 248, 0.82)","","","Needs Greek","Please add/check Greek wording"
"770","General","","rgba(240, 247, 242, 0.88)","","","Needs Greek","Please add/check Greek wording"
"771","General","","rgba(241, 233, 247, 0.84)","","","Needs Greek","Please add/check Greek wording"
"772","General","","rgba(241, 244, 252, 0.88)","","","Needs Greek","Please add/check Greek wording"
"773","General","","rgba(241, 245, 252, 0.88)","","","Needs Greek","Please add/check Greek wording"
"774","General","","rgba(241, 248, 251, 0.88)","","","Needs Greek","Please add/check Greek wording"
"775","General","","rgba(241, 249, 253, 0.88)","","","Needs Greek","Please add/check Greek wording"
"776","General","","rgba(242, 246, 249, 0.88)","","","Needs Greek","Please add/check Greek wording"
"777","General","","rgba(243, 245, 245, 0.88)","","","Needs Greek","Please add/check Greek wording"
"778","General","","rgba(243, 249, 242, 0.88)","","","Needs Greek","Please add/check Greek wording"
"779","General","","rgba(244, 235, 227, 0.82)","","","Needs Greek","Please add/check Greek wording"
"780","General","","rgba(244, 236, 229, 0.84)","","","Needs Greek","Please add/check Greek wording"
"781","General","","rgba(245, 232, 243, 0.84)","","","Needs Greek","Please add/check Greek wording"
"782","General","","rgba(245, 246, 248, 0.88)","","","Needs Greek","Please add/check Greek wording"
"783","General","","rgba(246, 232, 243, 0.82)","","","Needs Greek","Please add/check Greek wording"
"784","General","","rgba(246, 238, 216, 0.84)","","","Needs Greek","Please add/check Greek wording"
"785","General","","rgba(246, 249, 238, 0.88)","","","Needs Greek","Please add/check Greek wording"
"786","General","","rgba(246, 253, 253, 0.88)","","","Needs Greek","Please add/check Greek wording"
"787","General","","rgba(247, 232, 238, 0.82)","","","Needs Greek","Please add/check Greek wording"
"788","General","","rgba(247, 232, 238, 0.84)","","","Needs Greek","Please add/check Greek wording"
"789","General","","rgba(247, 234, 229, 0.84)","","","Needs Greek","Please add/check Greek wording"
"790","General","","rgba(247, 239, 219, 0.82)","","","Needs Greek","Please add/check Greek wording"
"791","General","","rgba(247, 253, 250, 0.88)","","","Needs Greek","Please add/check Greek wording"
"792","General","","rgba(248, 235, 231, 0.82)","","","Needs Greek","Please add/check Greek wording"
"793","General","","rgba(248, 236, 228, 0.84)","","","Needs Greek","Please add/check Greek wording"
"794","General","","rgba(248, 243, 248, 0.88)","","","Needs Greek","Please add/check Greek wording"
"795","General","","rgba(248, 243, 252, 0.88)","","","Needs Greek","Please add/check Greek wording"
"796","General","","rgba(248, 252, 249, 0.88)","","","Needs Greek","Please add/check Greek wording"
"797","General","","rgba(248, 252, 255, 0.88)","","","Needs Greek","Please add/check Greek wording"
"798","General","","rgba(249, 236, 226, 0.8)","","","Needs Greek","Please add/check Greek wording"
"799","General","","rgba(249, 250, 255, 0.88)","","","Needs Greek","Please add/check Greek wording"
"800","General","","rgba(249, 251, 253, 0.88)","","","Needs Greek","Please add/check Greek wording"
"801","General","","rgba(249, 251, 255, 0.88)","","","Needs Greek","Please add/check Greek wording"
"802","General","","rgba(249, 253, 248, 0.88)","","","Needs Greek","Please add/check Greek wording"
"803","General","","rgba(249, 253, 255, 0.88)","","","Needs Greek","Please add/check Greek wording"
"804","General","","rgba(250, 239, 232, 0.82)","","","Needs Greek","Please add/check Greek wording"
"805","General","","rgba(251, 252, 252, 0.88)","","","Needs Greek","Please add/check Greek wording"
"806","General","","rgba(252, 239, 229, 0.84)","","","Needs Greek","Please add/check Greek wording"
"807","General","","rgba(252, 242, 246, 0.88)","","","Needs Greek","Please add/check Greek wording"
"808","General","","rgba(252, 242, 250, 0.88)","","","Needs Greek","Please add/check Greek wording"
"809","General","","rgba(252, 246, 240, 0.88)","","","Needs Greek","Please add/check Greek wording"
"810","General","","rgba(252, 247, 236, 0.88)","","","Needs Greek","Please add/check Greek wording"
"811","General","","rgba(252, 249, 252, 0.88)","","","Needs Greek","Please add/check Greek wording"
"812","General","","rgba(252, 249, 255, 0.88)","","","Needs Greek","Please add/check Greek wording"
"813","General","","rgba(252, 252, 253, 0.88)","","","Needs Greek","Please add/check Greek wording"
"814","General","","rgba(252, 253, 247, 0.88)","","","Needs Greek","Please add/check Greek wording"
"815","General","","rgba(253, 243, 240, 0.88)","","","Needs Greek","Please add/check Greek wording"
"816","General","","rgba(254, 246, 241, 0.88)","","","Needs Greek","Please add/check Greek wording"
"817","General","","rgba(255, 247, 240, 0.88)","","","Needs Greek","Please add/check Greek wording"
"818","General","","rgba(255, 249, 247, 0.88)","","","Needs Greek","Please add/check Greek wording"
"819","General","","rgba(255, 249, 251, 0.88)","","","Needs Greek","Please add/check Greek wording"
"820","General","","rgba(255, 249, 254, 0.88)","","","Needs Greek","Please add/check Greek wording"
"821","General","","rgba(255, 250, 242, 0.82)","","","Needs Greek","Please add/check Greek wording"
"822","General","","rgba(255, 250, 245, 0.88)","","","Needs Greek","Please add/check Greek wording"
"823","General","","rgba(255, 251, 247, 0.88)","","","Needs Greek","Please add/check Greek wording"
"824","General","","rgba(255, 251, 248, 0.88)","","","Needs Greek","Please add/check Greek wording"
"825","General","","rgba(255, 252, 246, 0.88)","","","Needs Greek","Please add/check Greek wording"
"826","General","","rgba(255, 252, 247, 0.86)","","","Needs Greek","Please add/check Greek wording"
"827","General","","rgba(255, 255, 255, 0.16)","","","Needs Greek","Please add/check Greek wording"
"828","General","","rgba(255, 255, 255, 0.26)","","","Needs Greek","Please add/check Greek wording"
"829","General","","rgba(30, 44, 52, 0.12)","","","Needs Greek","Please add/check Greek wording"
"830","General","","rgba(31, 149, 160, 0.14)","","","Needs Greek","Please add/check Greek wording"
"831","General","","rgba(31, 42, 42, 0.12)","","","Needs Greek","Please add/check Greek wording"
"832","General","","rgba(32, 39, 61, 0.12)","","","Needs Greek","Please add/check Greek wording"
"833","General","","rgba(32, 48, 40, 0.12)","","","Needs Greek","Please add/check Greek wording"
"834","General","","rgba(32, 49, 61, 0.12)","","","Needs Greek","Please add/check Greek wording"
"835","General","","rgba(32, 50, 45, 0.12)","","","Needs Greek","Please add/check Greek wording"
"836","General","","rgba(32, 50, 54, 0.12)","","","Needs Greek","Please add/check Greek wording"
"837","General","","rgba(33, 40, 44, 0.12)","","","Needs Greek","Please add/check Greek wording"
"838","General","","rgba(34, 48, 38, 0.12)","","","Needs Greek","Please add/check Greek wording"
"839","General","","rgba(34, 48, 58, 0.12)","","","Needs Greek","Please add/check Greek wording"
"840","General","","rgba(35, 43, 59, 0.12)","","","Needs Greek","Please add/check Greek wording"
"841","General","","rgba(36, 40, 49, 0.12)","","","Needs Greek","Please add/check Greek wording"
"842","General","","rgba(43, 122, 154, 0.14)","","","Needs Greek","Please add/check Greek wording"
"843","General","","rgba(43, 36, 50, 0.12)","","","Needs Greek","Please add/check Greek wording"
"844","General","","rgba(43, 49, 32, 0.12)","","","Needs Greek","Please add/check Greek wording"
"845","General","","rgba(45, 38, 31, 0.12)","","","Needs Greek","Please add/check Greek wording"
"846","General","","rgba(46, 37, 48, 0.12)","","","Needs Greek","Please add/check Greek wording"
"847","General","","rgba(47, 165, 127, 0.14)","","","Needs Greek","Please add/check Greek wording"
"848","General","","rgba(48, 35, 31, 0.12)","","","Needs Greek","Please add/check Greek wording"
"849","General","","rgba(51, 35, 50, 0.12)","","","Needs Greek","Please add/check Greek wording"
"850","General","","rgba(51, 41, 24, 0.12)","","","Needs Greek","Please add/check Greek wording"
"851","General","","rgba(52, 37, 43, 0.12)","","","Needs Greek","Please add/check Greek wording"
"852","General","","rgba(52, 39, 34, 0.12)","","","Needs Greek","Please add/check Greek wording"
"853","General","","rgba(52, 42, 35, 0.12)","","","Needs Greek","Please add/check Greek wording"
"854","General","","rgba(60, 140, 197, 0.14)","","","Needs Greek","Please add/check Greek wording"
"855","General","","rgba(61, 122, 96, 0.14)","","","Needs Greek","Please add/check Greek wording"
"856","General","","rgba(69, 106, 194, 0.14)","","","Needs Greek","Please add/check Greek wording"
"857","General","","rgba(74, 90, 100, 0.14)","","","Needs Greek","Please add/check Greek wording"
"858","General","","rgba(75, 112, 143, 0.14)","","","Needs Greek","Please add/check Greek wording"
"859","General","","rgba(75, 98, 179, 0.14)","","","Needs Greek","Please add/check Greek wording"
"860","General","","rgba(77, 124, 103, 0.42)","","","Needs Greek","Please add/check Greek wording"
"861","General","","rgba(78, 160, 168, 0.42)","","","Needs Greek","Please add/check Greek wording"
"862","General","","rgba(79, 138, 92, 0.14)","","","Needs Greek","Please add/check Greek wording"
"863","General","","rgba(89, 136, 97, 0.44)","","","Needs Greek","Please add/check Greek wording"
"864","General","","rgba(92, 117, 176, 0.42)","","","Needs Greek","Please add/check Greek wording"
"865","General","","rgba(92, 164, 139, 0.42)","","","Needs Greek","Please add/check Greek wording"
"866","General","","rgba(93, 150, 197, 0.42)","","","Needs Greek","Please add/check Greek wording"
"867","General","","rgba(94, 102, 120, 0.14)","","","Needs Greek","Please add/check Greek wording"
"868","General","","rgba(94, 110, 170, 0.42)","","","Needs Greek","Please add/check Greek wording"
"869","Team Members","","Role Permission Template Updated","","","Needs Greek","Please add/check Greek wording"
"870","Team Members","","Role Permission Templates","","","Needs Greek","Please add/check Greek wording"
"871","Team Members","","Role Permissions","","","Needs Greek","Please add/check Greek wording"
"872","General","","Room id","","","Needs Greek","Please add/check Greek wording"
"873","General","","Room link","","","Needs Greek","Please add/check Greek wording"
"874","General","","Room status","","","Needs Greek","Please add/check Greek wording"
"875","General","","Rose Office","","","Needs Greek","Please add/check Greek wording"
"876","General","","Sandstone Calm","","","Needs Greek","Please add/check Greek wording"
"877","General","","Save","Αποθήκευση","","Proposal",""
"878","Planner","","Save assignment","Αποθήκευση assignment","","Proposal",""
"879","Equipment","","Save category","Αποθήκευση κατηγορία","","Proposal",""
"880","General","","Save changes","Αποθήκευση αλλαγών","","Proposal",""
"881","Clients","","Save client","Αποθήκευση πελάτης","","Proposal",""
"882","General","","Save comment","Αποθήκευση comment","","Proposal",""
"883","Equipment","","Save equipment","Αποθήκευση εξοπλισμός","","Proposal",""
"884","Projects","","Save project","Αποθήκευση έργου","","Proposal",""
"885","Projects","","Save task","Αποθήκευση εργασία","","Proposal",""
"886","Projects","","Save the Service Team first to add notes, files, or photos.","Αποθήκευση the Service Team first to add notes, files, or photos.","","Proposal",""
"887","General","","Schedule Team","","","Needs Greek","Please add/check Greek wording"
"888","General","","Search","Αναζήτηση","","Proposal",""
"889","General","","secondary-btn add-plus-btn","","","Needs Greek","Please add/check Greek wording"
"890","General","","Section view","","","Needs Greek","Please add/check Greek wording"
"891","General","","segmented-toggle inline-section-view-toggle","","","Needs Greek","Please add/check Greek wording"
"892","Projects","","segmented-toggle inline-section-view-toggle area-scope-toggle","","","Needs Greek","Please add/check Greek wording"
"893","General","","Segoe UI","","","Needs Greek","Please add/check Greek wording"
"894","Equipment","","Select a category to filter the list. Admin can create or edit categories here.","","","Needs Greek","Please add/check Greek wording"
"895","AI Assistant","","Select a client on the left to open the details.","","","Needs Greek","Please add/check Greek wording"
"896","AI Assistant","","Select a member on the left to open the details.","","","Needs Greek","Please add/check Greek wording"
"897","Projects","","Select an area tab to open Notes, Files, and Photos.","","","Needs Greek","Please add/check Greek wording"
"898","AI Assistant","","Select equipment on the left to open the details.","","","Needs Greek","Please add/check Greek wording"
"899","Team Members","","Select one or more members. Use Position and Experience to filter the list.","","","Needs Greek","Please add/check Greek wording"
"900","Projects","","Select photos","","","Needs Greek","Please add/check Greek wording"
"901","General","","Select pic","","","Needs Greek","Please add/check Greek wording"
"902","General","","selected team","","","Needs Greek","Please add/check Greek wording"
"903","General","","Service Team","","","Needs Greek","Please add/check Greek wording"
"904","Audit Log","","Service Team Archived","","","Needs Greek","Please add/check Greek wording"
"905","Audit Log","","Service Team Created","","","Needs Greek","Please add/check Greek wording"
"906","Projects","","Service Team Disconnected From Area","","","Needs Greek","Please add/check Greek wording"
"907","General","","Service Team Disconnected From Item","","","Needs Greek","Please add/check Greek wording"
"908","Projects","","Service Team Linked To Area","","","Needs Greek","Please add/check Greek wording"
"909","General","","Service Team Linked To Item","","","Needs Greek","Please add/check Greek wording"
"910","General","","Service Team name","","","Needs Greek","Please add/check Greek wording"
"911","Audit Log","","Service Team Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"912","Audit Log","","Service Team Restored","","","Needs Greek","Please add/check Greek wording"
"913","Audit Log","","Service Team Updated","","","Needs Greek","Please add/check Greek wording"
"914","General","","Session User Changed","","","Needs Greek","Please add/check Greek wording"
"915","General","","Set Completed","","","Needs Greek","Please add/check Greek wording"
"916","Audit Log","","Show Archived","Εμφάνιση αρχειοθετημένων","","Proposal",""
"917","Audit Log","","Show archived elements","Εμφάνιση αρχειοθετημένων στοιχείων","","Proposal",""
"918","Projects","","Show original file name","","","Needs Greek","Please add/check Greek wording"
"919","General","","Show users in matrix","","","Needs Greek","Please add/check Greek wording"
"920","Projects","","Site snapshots and proof photos.","","","Needs Greek","Please add/check Greek wording"
"921","General","","Size","","","Needs Greek","Please add/check Greek wording"
"922","General","","Skyline Work","","","Needs Greek","Please add/check Greek wording"
"923","General","","Slate Studio","","","Needs Greek","Please add/check Greek wording"
"924","General","","Sort: Team","","","Needs Greek","Please add/check Greek wording"
"925","General","","Sort: Upload time","","","Needs Greek","Please add/check Greek wording"
"926","AI Assistant","","Speak in Greek. Finish with the magic words ""Ready over"" so I know your speech is ready.","","","Needs Greek","Please add/check Greek wording"
"927","AI Assistant","","Speech Parsed","","","Needs Greek","Please add/check Greek wording"
"928","AI Assistant","","Speech recognition is not supported in this browser.","","","Needs Greek","Please add/check Greek wording"
"929","General","","Start","Έναρξη","","Proposal",""
"930","General","","Start date","Ημερομηνία έναρξης","","Proposal",""
"931","General","","Start listening","","","Needs Greek","Please add/check Greek wording"
"932","Team Members","","Start with Team Members, create the first admin or manager, then add the first project.","","","Needs Greek","Please add/check Greek wording"
"933","General","","Started","","","Needs Greek","Please add/check Greek wording"
"934","General","","Status","Κατάσταση","","Proposal",""
"935","Projects","","Store contracts, drawings, notes, and pictures for this project here.","","","Needs Greek","Please add/check Greek wording"
"936","General","","Surname","","","Needs Greek","Please add/check Greek wording"
"937","General","","Tahoma, sans-serif","","","Needs Greek","Please add/check Greek wording"
"938","Projects","","Take Photo","","","Needs Greek","Please add/check Greek wording"
"939","General","","Take pic","","","Needs Greek","Please add/check Greek wording"
"940","Audit Log","","Task Created","","","Needs Greek","Please add/check Greek wording"
"941","Projects","","Task Saved","","","Needs Greek","Please add/check Greek wording"
"942","Projects","","Task title","","","Needs Greek","Please add/check Greek wording"
"943","Projects","","Tasks","Εργασίες","","Proposal",""
"944","Projects","","Tasks are limited","","","Needs Greek","Please add/check Greek wording"
"945","Projects","","Tasks for the currently selected project","","","Needs Greek","Please add/check Greek wording"
"946","General","","Team","","","Needs Greek","Please add/check Greek wording"
"947","General","","Team Call","","","Needs Greek","Please add/check Greek wording"
"948","General","","Team Color","","","Needs Greek","Please add/check Greek wording"
"949","Team Members","","Team member","","","Needs Greek","Please add/check Greek wording"
"950","Team Members","","Team Members","Μέλη ομάδας","","Proposal",""
"951","General","","Team Scheduling","","","Needs Greek","Please add/check Greek wording"
"952","General","","Tel","Τηλέφωνο","","Proposal",""
"953","General","","Telephone","","","Needs Greek","Please add/check Greek wording"
"954","AI Assistant","","text/plain","","","Needs Greek","Please add/check Greek wording"
"955","General","","text/service-team-id","","","Needs Greek","Please add/check Greek wording"
"956","General","","The quick brown fox jumps over the lazy dog. 1234567890","","","Needs Greek","Please add/check Greek wording"
"957","Projects","","The selected project is not open on this date.","","","Needs Greek","Please add/check Greek wording"
"958","Settings","","Theme","","","Needs Greek","Please add/check Greek wording"
"959","Settings","","Theme Studio","","","Needs Greek","Please add/check Greek wording"
"960","Projects","","There are no active projects for this date.","","","Needs Greek","Please add/check Greek wording"
"961","Projects","","There are no active projects for this day.","","","Needs Greek","Please add/check Greek wording"
"962","Audit Log","","this archived project","","","Needs Greek","Please add/check Greek wording"
"963","Equipment","","this category","","","Needs Greek","Please add/check Greek wording"
"964","Equipment","","This equipment category already exists.","","","Needs Greek","Please add/check Greek wording"
"965","Projects","","This message is already copied into Notes.","","","Needs Greek","Please add/check Greek wording"
"966","General","","This team already has saved content. You cannot delete it permanently, but you can make it inactive.","","","Needs Greek","Please add/check Greek wording"
"967","Planner","","This team is already planned in another project during that time.","","","Needs Greek","Please add/check Greek wording"
"968","Planner","","This Week","","","Needs Greek","Please add/check Greek wording"
"969","Projects","","Tick one or more areas to connect uploaded photos with parts of the project.","","","Needs Greek","Please add/check Greek wording"
"970","General","","Times New Roman","","","Needs Greek","Please add/check Greek wording"
"971","General","","Today","Σήμερα","","Proposal",""
"972","General","","toggle-icon toggle-icon-grid","","","Needs Greek","Please add/check Greek wording"
"973","General","","toggle-icon toggle-icon-list","","","Needs Greek","Please add/check Greek wording"
"974","Audit Log","","Track who changed what, when they did it, and whether it was archived, restored, or permanently deleted.","","","Needs Greek","Please add/check Greek wording"
"975","General","","Trebuchet MS","","","Needs Greek","Please add/check Greek wording"
"976","General","","Typography","","","Needs Greek","Please add/check Greek wording"
"977","Clients","","UID","","","Needs Greek","Please add/check Greek wording"
"978","Clients","","UID Number","","","Needs Greek","Please add/check Greek wording"
"979","General","","Unknown user","","","Needs Greek","Please add/check Greek wording"
"980","Projects","","Unnamed area","","","Needs Greek","Please add/check Greek wording"
"981","Clients","","Unnamed client","","","Needs Greek","Please add/check Greek wording"
"982","General","","Unnamed person","","","Needs Greek","Please add/check Greek wording"
"983","General","","Unnamed team","","","Needs Greek","Please add/check Greek wording"
"984","General","","Untitled comment","","","Needs Greek","Please add/check Greek wording"
"985","Projects","","Untitled file","","","Needs Greek","Please add/check Greek wording"
"986","General","","Untitled item","","","Needs Greek","Please add/check Greek wording"
"987","Projects","","Untitled project","","","Needs Greek","Please add/check Greek wording"
"988","Projects","","Untitled task","","","Needs Greek","Please add/check Greek wording"
"989","Projects","","Update task status: Open, Started, Paused, or Done","","","Needs Greek","Please add/check Greek wording"
"990","Projects","","Upload files and photos","","","Needs Greek","Please add/check Greek wording"
"991","General","","Upload PDFs, docs, and reference images.","","","Needs Greek","Please add/check Greek wording"
"992","Projects","","Upload Photos","","","Needs Greek","Please add/check Greek wording"
"993","General","","Upload Pictures","","","Needs Greek","Please add/check Greek wording"
"994","Projects","","Upload project or contract-related pictures here.","","","Needs Greek","Please add/check Greek wording"
"995","Projects","","Upload project plans, PDFs, contracts, or reference files here.","","","Needs Greek","Please add/check Greek wording"
"996","Projects","","Use real dates to keep free teams at the top and assign them into open projects below.","","","Needs Greek","Please add/check Greek wording"
"997","AI Assistant","","Use the + button in the left Teams rail to create a new team. Open a team here to see members, linked areas, files, and progress.","","","Needs Greek","Please add/check Greek wording"
"998","AI Assistant","","Use transcript and summary","","","Needs Greek","Please add/check Greek wording"
"999","General","","User","Χρήστης","","Proposal",""
"1000","Audit Log","","User login","","","Needs Greek","Please add/check Greek wording"
"1001","Team Members","","User type","","","Needs Greek","Please add/check Greek wording"
"1002","General","","Users","","","Needs Greek","Please add/check Greek wording"
"1003","General","","Verdana, sans-serif","","","Needs Greek","Please add/check Greek wording"
"1004","General","","Very Large","","","Needs Greek","Please add/check Greek wording"
"1005","General","","Very Small","","","Needs Greek","Please add/check Greek wording"
"1006","General","","Viber Creating","","","Needs Greek","Please add/check Greek wording"
"1007","AI Assistant","","Viber Failed","","","Needs Greek","Please add/check Greek wording"
"1008","General","","Viber Room","","","Needs Greek","Please add/check Greek wording"
"1009","Settings","","Viber room settings saved for this project.","","","Needs Greek","Please add/check Greek wording"
"1010","General","","Video Call","","","Needs Greek","Please add/check Greek wording"
"1011","Projects","","View all project tasks","","","Needs Greek","Please add/check Greek wording"
"1012","Projects","","View own assigned tasks","","","Needs Greek","Please add/check Greek wording"
"1013","Planner","","Week","Εβδομάδα","","Proposal",""
"1014","General","","What do you want to add?","","","Needs Greek","Please add/check Greek wording"
"1015","Projects","","Where (Area)","","","Needs Greek","Please add/check Greek wording"
"1016","Clients","","Work with clients in one combined workspace. The selected client opens directly inside the same flow.","","","Needs Greek","Please add/check Greek wording"
"1017","General","","Workspace color","Χρώμα χώρου εργασίας","","Proposal",""
"1018","General","","Workspace preview","Προεπισκόπηση χώρου εργασίας","","Proposal",""
"1019","General","","workspace-tab add-tab","","","Needs Greek","Please add/check Greek wording"
"1020","AI Assistant","","workspace-tab project-details-area-tab","","","Needs Greek","Please add/check Greek wording"
"1021","AI Assistant","","workspace-tab project-details-team-tab","","","Needs Greek","Please add/check Greek wording"
"1022","Projects","","Write a message or attach at least one file.","","","Needs Greek","Please add/check Greek wording"
"1023","General","","Yes","","","Needs Greek","Please add/check Greek wording"
"1024","Team Members","","You can delete only items you created. Other deletes are admin-only.","","","Needs Greek","Please add/check Greek wording"
"1025","Projects","","You can read messages, but you cannot send in this project.","","","Needs Greek","Please add/check Greek wording"
"1026","Team Members","","You cannot change the permissions for your current role.","","","Needs Greek","Please add/check Greek wording"
"1027","Team Members","","You cannot change your own permissions.","","","Needs Greek","Please add/check Greek wording"
"1028","Team Members","","You cannot change your own role.","","","Needs Greek","Please add/check Greek wording"
"1029","Team Members","","You cannot change your own user type.","","","Needs Greek","Please add/check Greek wording"
"1030","General","","You cannot deactivate your own account.","","","Needs Greek","Please add/check Greek wording"
"1031","General","","You cannot permanently delete your own account.","","","Needs Greek","Please add/check Greek wording"
"1032","General","","You do not have access to add comments here.","Δεν έχετε πρόσβαση για να add comments here..","","Proposal",""
"1033","Projects","","You do not have access to add comments in this area.","Δεν έχετε πρόσβαση για να add comments in this area..","","Proposal",""
"1034","Projects","","You do not have access to add files or photos in this project.","Δεν έχετε πρόσβαση για να add files or photos in this project..","","Proposal",""
"1035","Projects","","You do not have access to add files or photos in this service team.","Δεν έχετε πρόσβαση για να add files or photos in this service team..","","Proposal",""
"1036","Projects","","You do not have access to add notes in this service team.","Δεν έχετε πρόσβαση για να add notes in this service team..","","Proposal",""
"1037","Projects","","You do not have access to add photos here.","Δεν έχετε πρόσβαση για να add photos here..","","Proposal",""
"1038","Projects","","You do not have access to save camera photos here.","Δεν έχετε πρόσβαση για να save camera photos here..","","Proposal",""
"1039","General","","You do not have access to save comments here.","Δεν έχετε πρόσβαση για να save comments here..","","Proposal",""
"1040","Projects","","You do not have access to upload files here.","Δεν έχετε πρόσβαση για να upload files here..","","Proposal",""
"1041","Projects","","You do not have access to upload files or pictures here.","Δεν έχετε πρόσβαση για να upload files or pictures here..","","Proposal",""
"1042","Projects","","You do not have access to use the project camera upload here.","Δεν έχετε πρόσβαση για να use the project camera upload here..","","Proposal",""
"1043","Team Members","","You do not have permission to archive this item.","Δεν έχετε δικαίωμα να archive this item..","","Proposal",""
